depo_cur,link_cur,tenor,interest_rate,conversion_rate
HKD,AUD,1W,4.5,5.9015
HKD,AUD,1W,5,5.9054
HKD,AUD,1W,5.5,5.909
HKD,AUD,1W,6,5.9124
HKD,AUD,1W,6.5,5.9157
HKD,AUD,1W,7,5.9188
HKD,AUD,1W,7.5,5.9218
HKD,AUD,1W,8,5.9246
HKD,AUD,1W,8.5,5.9274
HKD,AUD,2W,4.5,5.8938
HKD,AUD,2W,5,5.9007
HKD,AUD,2W,5.5,5.9072
HKD,AUD,2W,6,5.9132
HKD,AUD,2W,6.5,5.919
HKD,AUD,2W,7,5.9244
HKD,AUD,2W,7.5,5.9296
HKD,AUD,2W,8,5.9345
HKD,AUD,2W,8.5,5.9392
HKD,AUD,3W,4.5,5.8961
HKD,AUD,3W,5,5.9055
HKD,AUD,3W,5.5,5.9142
HKD,AUD,3W,6,5.9223
HKD,AUD,3W,6.5,5.93
HKD,AUD,3W,7,5.9372
HKD,AUD,3W,7.5,5.9441
HKD,AUD,3W,8,5.9507
HKD,AUD,3W,8.5,5.957
HKD,AUD,1M,4.5,5.894
HKD,AUD,1M,5,5.906
HKD,AUD,1M,5.5,5.9171
HKD,AUD,1M,6,5.9274
HKD,AUD,1M,6.5,5.9371
HKD,AUD,1M,7,5.9462
HKD,AUD,1M,7.5,5.9549
HKD,AUD,1M,8,5.9632
HKD,AUD,2M,4.5,5.915
HKD,AUD,2M,5,5.9362
HKD,AUD,2M,5.5,5.9559
HKD,AUD,3M,4.5,5.9401
HKD,AUD,3M,5,5.9683
AUD,HKD,1W,4.5,0.1694
AUD,HKD,1W,5,0.1693
AUD,HKD,1W,5.5,0.1692
AUD,HKD,1W,6,0.1691
AUD,HKD,1W,6.5,0.1690
AUD,HKD,1W,7,0.1690
AUD,HKD,1W,7.5,0.1689
AUD,HKD,1W,8,0.1688
AUD,HKD,1W,8.5,0.1687
AUD,HKD,2W,4.5,0.1697
AUD,HKD,2W,5,0.1695
AUD,HKD,2W,5.5,0.1693
AUD,HKD,2W,6,0.1691
AUD,HKD,2W,6.5,0.1689
AUD,HKD,2W,7,0.1688
AUD,HKD,2W,7.5,0.1686
AUD,HKD,2W,8,0.1685
AUD,HKD,2W,8.5,0.1684
AUD,HKD,3W,4.5,0.1696
AUD,HKD,3W,5,0.1693
AUD,HKD,3W,5.5,0.1691
AUD,HKD,3W,6,0.1689
AUD,HKD,3W,6.5,0.1686
AUD,HKD,3W,7,0.1684
AUD,HKD,3W,7.5,0.1682
AUD,HKD,3W,8,0.1680
AUD,HKD,3W,8.5,0.1679
AUD,HKD,1M,4.5,0.1697
AUD,HKD,1M,5,0.1693
AUD,HKD,1M,5.5,0.1690
AUD,HKD,1M,6,0.1687
AUD,HKD,1M,6.5,0.1684
AUD,HKD,1M,7,0.1682
AUD,HKD,1M,7.5,0.1679
AUD,HKD,1M,8,0.1677
AUD,HKD,2M,4.5,0.1691
AUD,HKD,2M,5,0.1685
AUD,HKD,2M,5.5,0.1679
AUD,HKD,3M,4.5,0.1683
AUD,HKD,3M,5,0.1676
USD,AUD,1W,4,0.7594
USD,AUD,1W,4.5,0.7600
USD,AUD,1W,5,0.7606
USD,AUD,1W,5.5,0.7611
USD,AUD,1W,6,0.7616
USD,AUD,1W,6.5,0.7621
USD,AUD,1W,7,0.7625
USD,AUD,1W,7.5,0.7629
USD,AUD,1W,8,0.7633
USD,AUD,2W,4,0.7589
USD,AUD,2W,4.5,0.7599
USD,AUD,2W,5,0.7608
USD,AUD,2W,5.5,0.7617
USD,AUD,2W,6,0.7625
USD,AUD,2W,6.5,0.7632
USD,AUD,2W,7,0.7639
USD,AUD,2W,7.5,0.7646
USD,AUD,2W,8,0.7653
USD,AUD,3W,4,0.7583
USD,AUD,3W,4.5,0.7597
USD,AUD,3W,5,0.7609
USD,AUD,3W,5.5,0.7621
USD,AUD,3W,6,0.7632
USD,AUD,3W,6.5,0.7643
USD,AUD,3W,7,0.7652
USD,AUD,3W,7.5,0.7662
USD,AUD,3W,8,0.7670
USD,AUD,1M,4,0.7577
USD,AUD,1M,4.5,0.7595
USD,AUD,1M,5,0.7611
USD,AUD,1M,5.5,0.7626
USD,AUD,1M,6,0.7640
USD,AUD,1M,6.5,0.7653
USD,AUD,1M,7,0.7665
USD,AUD,1M,7.5,0.7676
USD,AUD,1M,8,0.7687
USD,AUD,2M,4,0.7596
USD,AUD,2M,4.5,0.7627
USD,AUD,2M,5,0.7655
USD,AUD,2M,5.5,0.7681
USD,AUD,3M,4,0.7616
USD,AUD,3M,4.5,0.7658
USD,AUD,3M,5,0.7696
AUD,USD,1W,4,1.3168
AUD,USD,1W,4.5,1.3158
AUD,USD,1W,5,1.3148
AUD,USD,1W,5.5,1.3139
AUD,USD,1W,6,1.3130
AUD,USD,1W,6.5,1.3122
AUD,USD,1W,7,1.3115
AUD,USD,1W,7.5,1.3108
AUD,USD,1W,8,1.3101
AUD,USD,2W,4,1.3177
AUD,USD,2W,4.5,1.3160
AUD,USD,2W,5,1.3144
AUD,USD,2W,5.5,1.3129
AUD,USD,2W,6,1.3115
AUD,USD,2W,6.5,1.3103
AUD,USD,2W,7,1.3091
AUD,USD,2W,7.5,1.3079
AUD,USD,2W,8,1.3067
AUD,USD,3W,4,1.3187
AUD,USD,3W,4.5,1.3163
AUD,USD,3W,5,1.3142
AUD,USD,3W,5.5,1.3122
AUD,USD,3W,6,1.3103
AUD,USD,3W,6.5,1.3084
AUD,USD,3W,7,1.3068
AUD,USD,3W,7.5,1.3051
AUD,USD,3W,8,1.3038
AUD,USD,1M,4,1.3198
AUD,USD,1M,4.5,1.3167
AUD,USD,1M,5,1.3139
AUD,USD,1M,5.5,1.3113
AUD,USD,1M,6,1.3089
AUD,USD,1M,6.5,1.3067
AUD,USD,1M,7,1.3046
AUD,USD,1M,7.5,1.3028
AUD,USD,1M,8,1.3009
AUD,USD,2M,4,1.3165
AUD,USD,2M,4.5,1.3111
AUD,USD,2M,5,1.3063
AUD,USD,2M,5.5,1.3019
AUD,USD,3M,4,1.3130
AUD,USD,3M,4.5,1.3058
AUD,USD,3M,5,1.2994
HKD,GBP,1W,5.5,9.7533
HKD,GBP,1W,6,9.7475
HKD,GBP,1W,6.5,9.7419
HKD,GBP,1W,7,9.7367
HKD,GBP,1W,7.5,9.7317
HKD,GBP,1W,8,9.7268
HKD,GBP,1W,8.5,9.7222
HKD,GBP,1W,9,9.7177
HKD,GBP,1W,9.5,9.7134
HKD,GBP,2W,5.5,9.7583
HKD,GBP,2W,6,9.7482
HKD,GBP,2W,6.5,9.7387
HKD,GBP,2W,7,9.7298
HKD,GBP,2W,7.5,9.7212
HKD,GBP,2W,8,9.7130
HKD,GBP,2W,8.5,9.7052
HKD,GBP,2W,9,9.6976
HKD,GBP,2W,9.5,9.6903
HKD,GBP,3W,5.5,9.7561
HKD,GBP,3W,6,9.7424
HKD,GBP,3W,6.5,9.7296
HKD,GBP,3W,7,9.7174
HKD,GBP,3W,7.5,9.7058
HKD,GBP,3W,8,9.6948
HKD,GBP,3W,8.5,9.6841
HKD,GBP,3W,9,9.6739
HKD,GBP,3W,9.5,9.6640
HKD,GBP,1M,5.5,9.7433
HKD,GBP,1M,6,9.7268
HKD,GBP,1M,6.5,9.7113
HKD,GBP,1M,7,9.6965
HKD,GBP,1M,7.5,9.6824
HKD,GBP,1M,8,9.6689
HKD,GBP,1M,8.5,9.6559
HKD,GBP,1M,9,9.6434
HKD,GBP,2M,5.5,9.6680
GBP,HKD,1W,5.5,0.1025
GBP,HKD,1W,6,0.1026
GBP,HKD,1W,6.5,0.1026
GBP,HKD,1W,7,0.1027
GBP,HKD,1W,7.5,0.1028
GBP,HKD,1W,8,0.1028
GBP,HKD,1W,8.5,0.1029
GBP,HKD,1W,9,0.1029
GBP,HKD,1W,9.5,0.1030
GBP,HKD,2W,5.5,0.1025
GBP,HKD,2W,6,0.1026
GBP,HKD,2W,6.5,0.1027
GBP,HKD,2W,7,0.1028
GBP,HKD,2W,7.5,0.1029
GBP,HKD,2W,8,0.1030
GBP,HKD,2W,8.5,0.1030
GBP,HKD,2W,9,0.1031
GBP,HKD,2W,9.5,0.1032
GBP,HKD,3W,5.5,0.1025
GBP,HKD,3W,6,0.1026
GBP,HKD,3W,6.5,0.1028
GBP,HKD,3W,7,0.1029
GBP,HKD,3W,7.5,0.1030
GBP,HKD,3W,8,0.1031
GBP,HKD,3W,8.5,0.1033
GBP,HKD,3W,9,0.1034
GBP,HKD,3W,9.5,0.1035
GBP,HKD,1M,5.5,0.1026
GBP,HKD,1M,6,0.1028
GBP,HKD,1M,6.5,0.1030
GBP,HKD,1M,7,0.1031
GBP,HKD,1M,7.5,0.1033
GBP,HKD,1M,8,0.1034
GBP,HKD,1M,8.5,0.1036
GBP,HKD,1M,9,0.1037
GBP,HKD,2M,5.5,0.1034
HKD,CAD,1W,3,5.9099
