Underlying,Strike,KO Type,KO Barrier,Coupon p.a.,Note Price,Tenor,Barrier Type,KI Barrier
700 HK,90,Period End,105,6.21,98.5,6,NONE,
700 HK,90,Period End,105,9.01,98.5,9,NONE,
700 HK,90,Period End,105,10.49,98.5,12,NONE,
700 HK,90,Period End,100,4.51,98.5,6,NONE,
700 HK,90,Period End,100,6.95,98.5,9,NONE,
700 HK,90,Period End,100,8.21,98.5,12,NONE,
700 HK,85,Period End,105,1.79,98.5,6,NONE,
700 HK,85,Period End,105,4.54,98.5,9,NONE,
700 HK,85,Period End,105,6.05,98.5,12,NONE,
700 HK,85,Period End,100,2.77,98.5,9,NONE,
700 HK,85,Period End,100,4.2,98.5,12,NONE,
700 HK,80,Period End,105,1.78,98.5,9,NONE,
700 HK,80,Period End,105,3.24,98.5,12,NONE,
700 HK,80,Period End,100,1.64,98.5,12,NONE,
700 HK,90,Period End,105,1.83,98.5,6,EKI,78
700 HK,90,Period End,105,5.78,98.5,9,EKI,78
700 HK,90,Period End,105,8.06,98.5,12,EKI,78
700 HK,90,Period End,100,4.04,98.5,9,EKI,78
700 HK,90,Period End,100,6.13,98.5,12,EKI,78
700 HK,85,Period End,105,3.47,98.5,9,EKI,78
700 HK,85,Period End,105,5.24,98.5,12,EKI,78
700 HK,85,Period End,100,1.83,98.5,9,EKI,78
700 HK,85,Period End,100,3.47,98.5,12,EKI,78
700 HK,80,Period End,105,1.62,98.5,9,EKI,78
700 HK,80,Period End,105,3.13,98.5,12,EKI,78
700 HK,80,Period End,100,1.52,98.5,12,EKI,78
700 HK,90,Period End,105,4.29,98.5,9,EKI,75
700 HK,90,Period End,105,6.77,98.5,12,EKI,75
700 HK,90,Period End,100,2.55,98.5,9,EKI,75
700 HK,90,Period End,100,4.91,98.5,12,EKI,75
700 HK,85,Period End,105,2.64,98.5,9,EKI,75
700 HK,85,Period End,105,4.54,98.5,12,EKI,75
700 HK,85,Period End,100,1.02,98.5,9,EKI,75
700 HK,85,Period End,100,2.82,98.5,12,EKI,75
700 HK,80,Period End,105,1.25,98.5,9,EKI,75
700 HK,80,Period End,105,2.83,98.5,12,EKI,75
700 HK,80,Period End,100,1.24,98.5,12,EKI,75
700 HK,90,Period End,105,3.75,98.5,6,AKI,78
700 HK,90,Period End,105,7.87,98.5,9,AKI,78
700 HK,90,Period End,105,9.94,98.5,12,AKI,78
700 HK,90,Period End,100,2.45,98.5,6,AKI,78
700 HK,90,Period End,100,6.22,98.5,9,AKI,78
700 HK,90,Period End,100,7.94,98.5,12,AKI,78
700 HK,85,Period End,105,1.17,98.5,6,AKI,78
700 HK,85,Period End,105,4.26,98.5,9,AKI,78
700 HK,85,Period End,105,5.92,98.5,12,AKI,78
700 HK,85,Period End,100,2.59,98.5,9,AKI,78
700 HK,85,Period End,100,4.14,98.5,12,AKI,78
700 HK,80,Period End,105,1.76,98.5,9,AKI,78
700 HK,80,Period End,105,3.23,98.5,12,AKI,78
700 HK,80,Period End,100,1.64,98.5,12,AKI,78
700 HK,90,Period End,105,2.25,98.5,6,AKI,75
700 HK,90,Period End,105,6.8,98.5,9,AKI,75
700 HK,90,Period End,105,9.24,98.5,12,AKI,75
700 HK,90,Period End,100,5.29,98.5,9,AKI,75
700 HK,90,Period End,100,7.46,98.5,12,AKI,75
700 HK,85,Period End,105,3.8,98.5,9,AKI,75
700 HK,85,Period End,105,5.65,98.5,12,AKI,75
700 HK,85,Period End,100,2.23,98.5,9,AKI,75
700 HK,85,Period End,100,3.95,98.5,12,AKI,75
700 HK,80,Period End,105,1.62,98.5,9,AKI,75
700 HK,80,Period End,105,3.17,98.5,12,AKI,75
700 HK,80,Period End,100,1.57,98.5,12,AKI,75
388 HK,90,Period End,105,5.32,98.5,6,NONE,
388 HK,90,Period End,105,8.6,98.5,9,NONE,
388 HK,90,Period End,105,9.87,98.5,12,NONE,
388 HK,90,Period End,100,3.94,98.5,6,NONE,
388 HK,90,Period End,100,7.08,98.5,9,NONE,
388 HK,90,Period End,100,8.25,98.5,12,NONE,
388 HK,85,Period End,105,3.95,98.5,9,NONE,
388 HK,85,Period End,105,5.31,98.5,12,NONE,
388 HK,85,Period End,100,2.5,98.5,9,NONE,
388 HK,85,Period End,100,3.88,98.5,12,NONE,
388 HK,80,Period End,105,1.17,98.5,9,NONE,
388 HK,80,Period End,105,2.54,98.5,12,NONE,
388 HK,80,Period End,100,1.18,98.5,12,NONE,
388 HK,90,Period End,105,4.89,98.5,9,EKI,78
388 HK,90,Period End,105,7.05,98.5,12,EKI,78
388 HK,90,Period End,100,3.59,98.5,9,EKI,78
388 HK,90,Period End,100,5.68,98.5,12,EKI,78
388 HK,85,Period End,105,2.74,98.5,9,EKI,78
388 HK,85,Period End,105,4.39,98.5,12,EKI,78
388 HK,85,Period End,100,1.38,98.5,9,EKI,78
388 HK,85,Period End,100,3.03,98.5,12,EKI,78
388 HK,80,Period End,105,1.02,98.5,9,EKI,78
388 HK,80,Period End,105,2.42,98.5,12,EKI,78
388 HK,80,Period End,100,1.07,98.5,12,EKI,78
388 HK,90,Period End,105,3.26,98.5,9,EKI,75
388 HK,90,Period End,105,5.62,98.5,12,EKI,75
388 HK,90,Period End,100,1.87,98.5,9,EKI,75
388 HK,90,Period End,100,4.23,98.5,12,EKI,75
388 HK,85,Period End,105,1.85,98.5,9,EKI,75
388 HK,85,Period End,105,3.63,98.5,12,EKI,75
388 HK,85,Period End,100,2.25,98.5,12,EKI,75
388 HK,80,Period End,105,2.08,98.5,12,EKI,75
388 HK,90,Period End,105,2.27,98.5,6,AKI,78
388 HK,90,Period End,105,6.86,98.5,9,AKI,78
388 HK,90,Period End,105,9.01,98.5,12,AKI,78
388 HK,90,Period End,100,1.16,98.5,6,AKI,78
388 HK,90,Period End,100,5.77,98.5,9,AKI,78
388 HK,90,Period End,100,7.71,98.5,12,AKI,78
388 HK,85,Period End,105,3.52,98.5,9,AKI,78
388 HK,85,Period End,105,5.11,98.5,12,AKI,78
388 HK,85,Period End,100,2.2,98.5,9,AKI,78
388 HK,85,Period End,100,3.75,98.5,12,AKI,78
388 HK,80,Period End,105,1.15,98.5,9,AKI,78
388 HK,80,Period End,105,2.53,98.5,12,AKI,78
388 HK,80,Period End,100,1.17,98.5,12,AKI,78
388 HK,90,Period End,105,5.49,98.5,9,AKI,75
388 HK,90,Period End,105,8.09,98.5,12,AKI,75
388 HK,90,Period End,100,4.48,98.5,9,AKI,75
388 HK,90,Period End,100,6.95,98.5,12,AKI,75
388 HK,85,Period End,105,2.91,98.5,9,AKI,75
388 HK,85,Period End,105,4.74,98.5,12,AKI,75
388 HK,85,Period End,100,1.69,98.5,9,AKI,75
388 HK,85,Period End,100,3.46,98.5,12,AKI,75
388 HK,80,Period End,105,2.44,98.5,12,AKI,75
388 HK,80,Period End,100,1.1,98.5,12,AKI,75
