Date,700 HK,388 HK
8/1/2016,184.5,192.3
8/3/2016,181.5,190.2
8/4/2016,182.6,191.5
8/5/2016,184.6,192.6
8/8/2016,188.8,194.9
8/9/2016,188.2,194
8/10/2016,188,192.1
8/11/2016,188.7,197.7
8/12/2016,187.8,197.1
8/15/2016,191.1,200.2
8/16/2016,195.4,200.6
8/17/2016,193,191.2
8/18/2016,203,191.6
8/19/2016,201.8,191.2
8/22/2016,204.8,191.7
8/23/2016,203.6,189.7
8/24/2016,201,189.1
8/25/2016,199.5,189.1
8/26/2016,200.4,188.6
8/29/2016,201.4,188
8/30/2016,204.8,190.1
8/31/2016,201.8,189.7
9/1/2016,202.6,190.2
9/2/2016,201.8,190.8
9/5/2016,210.2,194.4
9/6/2016,215,198.1
9/7/2016,213.2,198
9/8/2016,215,198.6
9/9/2016,213.8,209.6
9/12/2016,207,201
9/13/2016,208,198
9/14/2016,208.6,199.3
9/15/2016,209.8,203.6
9/19/2016,209.4,204.2
9/20/2016,209,207.2
9/21/2016,211.2,208
9/22/2016,214.6,206.8
9/23/2016,218.2,205
9/26/2016,213,203
9/27/2016,215.8,205.4
9/28/2016,216.6,206.4
9/29/2016,217.6,206.8
9/30/2016,213,203.8
10/3/2016,216.8,205.8
10/4/2016,217.4,207.2
10/5/2016,217.4,207.4
10/6/2016,217.4,208.2
10/7/2016,216.2,208.8
10/11/2016,215.8,206.8
10/12/2016,213.4,206
10/13/2016,210,203.2
10/14/2016,209,205.4
10/17/2016,208.8,203.4
10/18/2016,212.4,205.4
10/19/2016,212.8,205.4
10/20/2016,214.2,206.6
10/21/2016,215.4,208
10/22/2016,214.8,208.6
10/26/2016,212.2,206.4
10/27/2016,210.6,205.6
10/28/2016,208,204
10/31/2016,205.8,205.4
11/1/2016,207.2,206
11/2/2016,204.4,203
11/3/2016,202,200.2
11/4/2016,200,199.7
11/7/2016,204.2,202.6
11/8/2016,205.6,203.6
11/9/2016,202.4,202.4
11/10/2016,208.2,204.8
11/11/2016,200,206.2
11/14/2016,192.6,204.2
11/15/2016,193.2,203.4
11/16/2016,196.9,203.4
11/17/2016,194.8,204
11/18/2016,195.4,203
11/21/2016,193.6,202.4
11/22/2016,195.8,203.8
11/23/2016,194.3,203.6
11/24/2016,192.2,203.8
11/25/2016,193,205
11/28/2016,195.3,204.8
11/29/2016,193,203.6
11/30/2016,193.7,204
12/1/2016,194.5,204.2
12/2/2016,191,202.8
12/5/2016,190,197.4
12/6/2016,189.9,196.4
12/7/2016,190.2,193.6
12/8/2016,190.9,195
12/9/2016,188.2,192.7
12/12/2016,185.1,189.6
12/13/2016,186.3,189.6
12/14/2016,186.8,190
12/15/2016,184,186.9
12/16/2016,183.9,185.1
12/19/2016,182.2,182.6
12/20/2016,181.7,182.1
12/21/2016,182.2,182.1
12/22/2016,181.5,181
12/23/2016,179.7,179.9
12/28/2016,183.6,180.7
12/29/2016,187.6,180.9
12/30/2016,189.7,183.2
1/3/2017,189.4,184.3
1/4/2017,189,182.6
1/5/2017,193.3,185.3
1/6/2017,195.1,185.4
1/9/2017,195.6,185.6
1/10/2017,198,187.5
1/11/2017,200.8,188.3
1/12/2017,198.8,186.6
1/13/2017,199.7,186.5
1/16/2017,196.7,185
1/17/2017,197.7,185.9
1/18/2017,199.7,187.9
1/19/2017,199.5,187.2
1/20/2017,197.7,185.5
1/23/2017,197.8,185.2
1/24/2017,197.8,185.2
1/25/2017,200.8,185.8
1/26/2017,205,187.8
1/27/2017,204.4,188.7
2/1/2017,206.6,188.5
2/2/2017,205.2,187.3
2/3/2017,205,186.4
2/6/2017,207.4,187.2
2/7/2017,205.4,186.7
2/8/2017,204,195.5
2/9/2017,204.2,195.5
2/10/2017,202.6,195.8
